subject_id,timepoint,age,age_months,understood,understood_only,produced,survey_vocab_max
ID_87DAC5043C62AF4F,t1,20,19.92,251,251,0,396
ID_8A03257CAE8892E8,t1,19,18.72,80,75,5,396
ID_8A03257CAE8892E8,t2,29,29.4,0,0,0,396
ID_8A6D5DE6686EAE64,t1,19,18.72,0,0,0,396
ID_8A6D5DE6686EAE64,t2,30,29.76,0,0,0,396
ID_8AF7E55F4F285A38,t1,18,18.12,26,24,2,396
ID_8BD777913D8BDAC6,t1,20,20.16,87,84,3,396
ID_8CB55B8DDA0F1AAB,t1,19,19.32,74,68,6,396
ID_8CB55B8DDA0F1AAB,t2,33,32.88,188,181,7,396
ID_8F3DA1253ED08E86,t1,20,19.68,7,7,0,396
ID_8FAEC3739E20D086,t1,23,23.04,72,72,0,396
ID_8FAEC3739E20D086,t2,32,31.92,223,222,1,396
ID_908E383AE52BDF97,t1,19,19.2,0,0,0,396
ID_92A5340E8E893454,t1,22,22.44,63,42,21,396
ID_92A5340E8E893454,t2,31,30.96,184,29,155,396
ID_937FA04FEA3C1F42,t1,19,18.84,93,89,4,396
ID_93E14D1AB6C57B38,t1,22,21.72,127,73,54,396
ID_93E14D1AB6C57B38,t2,33,32.76,278,23,255,396
ID_93F020EC520D3D90,t1,20,20.16,140,130,10,396
ID_93F020EC520D3D90,t2,32,32.04,331,304,27,396
ID_944141BF2A392306,t1,20,20.4,7,4,3,396
ID_9781EB1C9A087344,t1,19,19.08,61,56,5,396
ID_9781EB1C9A087344,t2,34,33.6,0,0,0,396
ID_9838DB5A773B3162,t1,20,19.68,0,0,0,396
ID_99C0827E788E52AD,t1,19,18.6,11,11,0,396
ID_99C0827E788E52AD,t2,32,31.92,62,54,8,396
ID_9C66C1BC4A8775E3,t1,18,18.0,15,11,4,396
ID_9EAF130541FE6242,t1,19,19.2,23,23,0,396
ID_9F8FE12D1E90ADDE,t1,19,18.6,66,66,0,396
ID_9FB382FB57DCBBCF,t1,20,19.56,0,0,0,396
ID_9FB382FB57DCBBCF,t2,32,31.92,250,222,28,396
ID_A1AD4E48602C03FA,t1,22,21.84,57,44,13,396
ID_A1AD4E48602C03FA,t2,33,33.48,170,94,76,396
ID_A3D6C75DE789C623,t1,20,19.92,0,0,0,396
ID_A3D6C75DE789C623,t2,31,30.96,2,2,0,396
ID_A4C0A400A144D264,t1,21,20.52,54,54,0,396
ID_A4C0A400A144D264,t2,32,32.4,136,132,4,396
ID_A55E8467C458DD7E,t1,19,18.6,21,21,0,396
ID_A55E8467C458DD7E,t2,33,32.64,124,119,5,396
ID_A8290C76BBA52655,t1,22,21.84,121,106,15,396
ID_A8290C76BBA52655,t2,35,35.04,257,209,48,396
ID_AA15D0F1A2FE93B9,t1,20,20.04,0,0,0,396
ID_AA15D0F1A2FE93B9,t2,31,31.2,70,64,6,396
ID_AB58A55F900B6154,t1,20,19.68,28,28,0,396
ID_ACADFB5D50BC5298,t1,21,20.88,0,0,0,396
ID_AD2097020B8CA697,t1,23,22.92,53,50,3,396
ID_AD2097020B8CA697,t2,32,32.16,192,168,24,396
ID_AD51407EC84C7E10,t1,20,19.68,28,19,9,396
ID_AD51407EC84C7E10,t2,31,30.72,75,52,23,396
ID_AF2382F46BFF0A79,t1,22,22.2,181,181,0,396
ID_AF2382F46BFF0A79,t2,35,34.8,0,0,0,396
ID_AFC879AF17E44843,t1,18,18.24,56,55,1,396
ID_AFC879AF17E44843,t2,31,31.08,144,143,1,396
ID_B1995E76033F4BEF,t1,20,19.8,24,24,0,396
ID_B1995E76033F4BEF,t2,31,30.6,160,158,2,396
ID_BA9883657170E179,t1,21,20.64,110,109,1,396
ID_BE4618751EB8D5D2,t1,21,21.48,209,183,26,396
ID_BE4618751EB8D5D2,t2,31,30.72,310,309,1,396
ID_BFDE1A0B60B6E6A3,t1,21,21.36,59,59,0,396
ID_C1462600E9AFA69A,t1,18,18.0,70,69,1,396
ID_C30D30032E4F0976,t1,19,19.08,36,35,1,396
ID_C30D30032E4F0976,t2,31,31.44,58,58,0,396
ID_C36495959660C94E,t1,19,19.44,171,154,17,396
ID_C36495959660C94E,t2,31,31.08,342,101,241,396
ID_C56FA954B2E197E0,t1,21,21.12,97,82,15,396
ID_C56FA954B2E197E0,t2,31,31.32,264,219,45,396
ID_C92DE14506A330F6,t1,19,18.72,67,52,15,396
ID_CB611D895C2B51C3,t1,19,18.72,43,43,0,396
ID_CBA405BB65D80B63,t1,20,19.8,83,74,9,396
ID_CBA405BB65D80B63,t2,32,32.04,323,261,62,396
ID_CD96F941495EFF7B,t1,20,19.8,125,113,12,396
ID_CD96F941495EFF7B,t2,33,33.12,211,166,45,396
ID_CDE5EEF937AC2A99,t1,22,21.96,5,5,0,396
ID_CEAF68D845481CD2,t1,20,19.8,53,47,6,396
ID_CEAF68D845481CD2,t2,31,31.44,237,199,38,396
ID_CEDA42A337A527F8,t1,20,19.92,39,35,4,396
ID_CEDA42A337A527F8,t2,30,30.0,52,49,3,396
ID_D596C3B0A95E206F,t1,21,20.76,73,69,4,396
ID_D596C3B0A95E206F,t2,33,32.76,284,109,175,396
ID_D788D4838CA78374,t1,19,18.6,155,147,8,396
ID_D955AA342290B91E,t1,19,19.32,396,396,0,396
ID_D955AA342290B91E,t2,30,30.0,404,389,15,396
ID_DAA476F8E3544193,t1,22,21.72,19,19,0,396
ID_DBCD8FD0EA7A743A,t1,21,20.88,13,13,0,396
ID_DBCD8FD0EA7A743A,t2,35,34.68,111,111,0,396
ID_DE405F5B3DBB08A9,t1,19,18.84,42,31,11,396
ID_DEF0CB5B16BCACA9,t1,19,19.44,121,103,18,396
ID_DFD8F35B0704D28A,t1,18,18.36,7,7,0,396
ID_E0D0D3B18024B18C,t1,21,20.52,62,59,3,396
ID_E0D0D3B18024B18C,t2,31,31.2,145,111,34,396
ID_E56A196C04CA0FBD,t1,19,18.84,99,99,0,396
ID_E62A1B47176C2D5F,t1,19,19.44,94,92,2,396
ID_E62A1B47176C2D5F,t2,30,30.48,192,167,25,396
ID_E8B439FDCDB71729,t1,23,22.92,12,9,3,396
ID_E8B439FDCDB71729,t2,32,32.16,50,43,7,396
ID_E91AAB5E5C785B61,t1,62,61.7,360,1,359,396
ID_E94F612E860E5064,t1,23,22.56,151,137,14,396
ID_E94F612E860E5064,t2,30,30.24,240,211,29,396
ID_EAF82C38BCEBE7C1,t1,19,19.08,10,9,1,396
ID_EB2AF180E409FF5B,t1,22,21.84,172,148,24,396
ID_EBA1E261832ED015,t1,19,18.84,48,46,2,396
ID_EEC7633EB60097D1,t1,21,20.76,169,161,8,396
ID_EEC7633EB60097D1,t2,30,30.0,96,80,16,396
ID_EF4AC38AC36B17AE,t1,18,18.0,111,106,5,396
ID_EF4AC38AC36B17AE,t2,30,29.52,396,325,71,396
ID_EF68DC97C27071E1,t1,23,23.4,0,0,0,396
ID_EF68DC97C27071E1,t2,33,33.36,0,0,0,396
ID_F2170FB4E1E4E4DC,t1,21,20.76,3,3,0,396
ID_F2170FB4E1E4E4DC,t2,33,32.52,0,0,0,396
ID_F292C07729046A35,t1,80,80.46,394,34,360,396
ID_F4A822C82B0EF787,t1,22,22.08,93,87,6,396
ID_F4A822C82B0EF787,t2,30,30.12,58,45,13,396
ID_F4F63542F1F3775A,t1,24,23.52,52,52,0,396
ID_F4F63542F1F3775A,t2,30,30.48,383,383,0,396
ID_F64591F20797DD1B,t1,21,20.64,91,88,3,396
ID_F64591F20797DD1B,t2,32,31.68,171,102,69,396
ID_F7DF0F77B81383DD,t1,18,18.24,118,118,0,396
ID_FB66BCD809778AFD,t1,21,20.88,20,18,2,396
ID_FD63F6292570BC84,t1,20,19.68,43,34,9,396
ID_FEA62ACAF123C8C2,t1,18,18.48,64,62,2,396
ID_FEA62ACAF123C8C2,t2,31,30.96,123,117,6,396
